299 144050 32958 111092 478400
300 144414 33072 111342 480000
301 144702 33184 111518 481600
302 144990 33294 111696 483200
303 145278 33412 111866 484800
304 145566 33520 112046 486400
305 145850 33612 112238 488000
306 146122 33704 112418 489600
307 146394 33780 112614 491200
308 146666 33848 112818 492800
309 146932 33908 113024 494400
310 147192 33968 113224 496000
311 147440 34036 113404 497600
312 147688 34120 113568 499200
313 147936 34212 113724 500800
314 148190 34312 113878 502400
315 148468 34424 114044 504000
316 148752 34540 114212 505600
317 149036 34666 114370 507200
318 149320 34802 114518 508800
319 149604 34940 114664 510400
320 149942 35070 114872 512000
321 150282 35194 115088 513600
322 150622 35324 115298 515200
323 150974 35454 115520 516800
324 151368 35584 115784 518400
325 151762 35700 116062 520000
326 152162 35828 116334 521600
327 152562 35954 116608 523200
328 152950 36072 116878 524800
329 153338 36200 117138 526400
330 153738 36320 117418 528000
331 154138 36440 117698 529600
332 154544 36568 117976 531200
333 154956 36686 118270 532800
334 155356 36808 118548 534400
335 155756 36930 118826 536000
336 156156 37040 119116 537600
337 156556 37154 119402 539200
338 156956 37260 119696 540800
339 157332 37354 119978 542400
340 157732 37448 120284 544000
341 158150 37548 120602 545600
342 158568 37656 120912 547200
343 159004 37762 121242 548800
344 159424 37878 121546 550400
345 159844 37994 121850 552000
346 160264 38118 122146 553600
347 160684 38246 122438 555200
348 161104 38364 122740 556800
349 161524 38486 123038 558400
350 161944 38618 123326 560000
351 162370 38752 123618 561600
352 162790 38892 123898 563200
353 163210 39020 124190 564800
354 163642 39156 124486 566400
355 164074 39298 124776 568000
356 164506 39422 125084 569600
357 164938 39558 125380 571200
358 165386 39692 125694 572800
359 165834 39816 126018 574400
360 166294 39948 126346 576000
361 166766 40076 126690 577600
362 167232 40200 127032 579200
363 167692 40326 127366 580800
364 168140 40454 127686 582400
365 168576 40582 127994 584000
366 169012 40704 128308 585600
367 169444 40828 128616 587200
368 169864 40950 128914 588800
369 170302 41070 129232 590400
370 170746 41196 129550 592000
371 171178 41318 129860 593600
372 171610 41438 130172 595200
373 172030 41556 130474 596800
374 172452 41676 130776 598400
375 172882 41792 131090 600000
376 173312 41906 131406 601600
377 173712 42026 131686 603200
378 174136 42142 131994 604800
379 174560 42254 132306 606400
380 175024 42368 132656 608000
381 175488 42476 133012 609600
382 175952 42584 133368 611200
383 176414 42700 133714 612800
384 176874 42808 134066 614400
385 177346 42920 134426 616000
386 177830 43032 134798 617600
387 178326 43140 135186 619200
388 178810 43254 135556 620800
389 179300 43366 135934 622400
390 179781 43472 136309 624000
391 180253 43584 136669 625600
392 180737 43696 137041 627200
393 181221 43802 137419 628800
394 181711 43914 137797 630400
395 182207 44026 138181 632000
396 182703 44136 138567 633600
397 183257 44248 139009 635200
398 183805 44360 139445 636800
399 184353 44472 139881 638400
400 184913 44584 140329 640000
